s_adj,age,sex,unit,geo\time	2016M10 	2016M11 	2016M12 	2017M01 	2017M02 	2017M03 	2017M04 	2017M05 	2017M06 	2017M07 	2017M08 	2017M09 
SA,TOTAL,F,PC_ACT,ES	20.4 	20.3 	20.1 	20.1 	20.0 	19.8 	19.4 	19.1 	18.9 	18.7 	18.6 	18.5 
SA,TOTAL,F,PC_ACT,EU27	8.4 	8.4 	8.3 	8.3 	8.2 	8.1 	8.0 	7.9 	7.8 	7.8 	7.7 	7.7 
SA,TOTAL,F,PC_ACT,EU28	8.5 	8.4 	8.4 	8.3 	8.2 	8.2 	8.0 	7.9 	7.8 	7.8 	7.7 	7.7 
SA,TOTAL,F,PC_ACT,FI	8.6 	8.6 	8.6 	8.5 	8.5 	8.5 	8.5 	8.5 	8.5 	8.6 	8.6 	8.6 
SA,TOTAL,F,PC_ACT,FR	9.9 	9.8 	9.8 	9.8 	9.7 	9.7 	9.6 	9.6 	9.5 	9.5 	9.5 	9.5 
SA,TOTAL,F,PC_ACT,HR	13.6 	13.5 	13.5 	13.4 	13.2 	12.9 	12.6 	12.3 	12.0 	12.0 	11.9 	11.6 
SA,TOTAL,F,PC_ACT,HU	4.7 	4.6 	4.2 	4.3 	4.5 	4.7 	4.7 	4.7 	4.6 	4.7 	4.6 	: 
SA,TOTAL,F,PC_ACT,IE	6.1 	6.1 	6.1 	6.2 	6.1 	5.8 	5.3 	5.0 	4.9 	5.0 	5.0 	5.1 
SA,TOTAL,F,PC_ACT,IS	3.0 	2.9 	2.8 	2.7 	2.6 	2.5 	2.5 	2.5 	2.5 	2.5 	2.5 	2.4 
SA,TOTAL,F,PC_ACT,IT	12.8 	13.0 	13.1 	13.1 	12.8 	12.7 	12.5 	12.5 	12.2 	12.7 	12.4 	12.5 
SA,TOTAL,F,PC_ACT,JP	2.7 	2.8 	2.7 	2.7 	2.7 	2.7 	2.6 	2.9 	2.7 	2.5 	2.5 	2.7 
SA,TOTAL,F,PC_ACT,LT	6.2 	6.2 	6.3 	6.1 	6.1 	6.2 	5.6 	5.4 	5.4 	6.2 	5.9 	6.0 
SA,TOTAL,F,PC_ACT,LU	6.2 	6.1 	6.1 	5.9 	5.9 	5.9 	5.8 	5.8 	5.8 	5.9 	5.9 	5.8 
SA,TOTAL,F,PC_ACT,LV	7.9 	7.9 	7.9 	8.1 	7.8 	7.6 	7.5 	7.4 	7.5 	7.3 	7.1 	6.9 
SA,TOTAL,F,PC_ACT,MT	5.4 	5.4 	5.2 	5.0 	4.7 	4.3 	4.0 	4.1 	4.0 	4.3 	4.4 	4.4 
SA,TOTAL,F,PC_ACT,NL	6.1 	6.2 	6.0 	5.9 	5.7 	5.5 	5.6 	5.6 	5.4 	5.2 	5.1 	5.1 
SA,TOTAL,F,PC_ACT,NO	4.2 	4.2 	4.0 	3.8 	3.9 	4.1 	4.1 	3.9 	3.9 	3.8 	3.7 	: 
SA,TOTAL,F,PC_ACT,PL	5.8 	5.7 	5.5 	5.4 	5.2 	5.1 	5.1 	5.0 	4.8 	4.7 	4.6 	4.5 
SA,TOTAL,F,PC_ACT,PT	10.6 	10.5 	10.3 	10.4 	10.2 	10.0 	9.8 	9.7 	9.6 	9.4 	9.4 	9.3 
SA,TOTAL,F,PC_ACT,RO	4.8 	4.7 	4.9 	4.4 	4.6 	4.5 	3.8 	3.9 	3.7 	3.9 	3.7 	3.7 
SA,TOTAL,F,PC_ACT,SE	6.3 	6.7 	6.5 	6.4 	6.3 	6.1 	6.3 	6.5 	6.3 	6.9 	6.2 	6.6 
SA,TOTAL,F,PC_ACT,SI	8.4 	8.4 	8.2 	7.9 	7.8 	7.7 	7.8 	7.7 	7.6 	7.4 	7.3 	7.2 
SA,TOTAL,F,PC_ACT,SK	9.9 	9.6 	9.4 	9.1 	8.9 	8.7 	8.6 	8.4 	8.1 	7.9 	7.7 	7.5 
SA,TOTAL,F,PC_ACT,UK	4.6 	4.5 	4.5 	4.4 	4.3 	4.3 	4.2 	4.2 	4.2 	4.1 	: 	: 
